RecordNumber,SourceName,TaskCategory,EventCode,EventType,cluster
38251,Microsoft-Windows-Time-Service,23,36,3,0
38249,Microsoft-Windows-Time-Service,23,134,3,0
38248,Microsoft-Windows-Time-Service,23,134,3,0
38233,Microsoft-Windows-DistributedCOM,23,10016,2,0
38232,Microsoft-Windows-DNS Client Events,13,1014,3,0
38230,Microsoft-Windows-DNS Client Events,13,1014,3,0
38207,Microsoft-Windows-DNS Client Events,13,1014,3,0
38200,Microsoft-Windows-DNS Client Events,13,1014,3,0
38196,Microsoft-Windows-DNS Client Events,13,1014,3,0
38194,Microsoft-Windows-Time-Service,23,134,3,0
38177,Microsoft-Windows-Time-Service,23,134,3,0
38174,Microsoft-Windows-Time-Service,23,134,3,0
38173,Microsoft-Windows-Time-Service,23,134,3,0
38165,Microsoft-Windows-DistributedCOM,23,10016,2,0
38164,Microsoft-Windows-DNS Client Events,13,1014,3,0
38162,Microsoft-Windows-DNS Client Events,13,1014,3,0
38160,Microsoft-Windows-DistributedCOM,23,10016,2,0
38159,Microsoft-Windows-DNS Client Events,13,1014,3,0
38147,Microsoft-Windows-DNS Client Events,13,1014,3,0
38097,Microsoft-Windows-Time-Service,23,134,3,0
38096,Microsoft-Windows-Time-Service,23,134,3,0
38095,Microsoft-Windows-Time-Service,23,134,3,0
38085,Microsoft-Windows-DistributedCOM,23,10016,2,0
38084,Microsoft-Windows-DNS Client Events,13,1014,3,0
38083,Microsoft-Windows-Service Control Manager,23,7034,2,0
38031,Microsoft-Windows-Time-Service,23,134,3,0
38030,Microsoft-Windows-Time-Service,23,134,3,0
38027,Microsoft-Windows-DNS Client Events,13,1014,3,0
38004,Microsoft-Windows-Time-Service,23,134,3,0
37947,Microsoft-Windows-DistributedCOM,23,10016,2,0
37946,Microsoft-Windows-DistributedCOM,23,10016,2,0
37945,Microsoft-Windows-DistributedCOM,23,10016,2,0
37940,Microsoft-Windows-Time-Service,23,134,3,0
37937,Microsoft-Windows-Time-Service,23,134,3,0
37936,Microsoft-Windows-Time-Service,23,134,3,0
37920,Microsoft-Windows-DistributedCOM,23,10016,2,0
37855,Microsoft-Windows-Time-Service,23,134,3,0
37854,Microsoft-Windows-DNS Client Events,13,1014,3,0
37827,Microsoft-Windows-DistributedCOM,23,10016,2,0
37787,Microsoft-Windows-DistributedCOM,23,10016,2,0
37786,Microsoft-Windows-DistributedCOM,23,10016,2,0
37785,Microsoft-Windows-DistributedCOM,23,10016,2,0
37778,Microsoft-Windows-Time-Service,23,134,3,0
37772,Microsoft-Windows-Time-Service,23,134,3,0
37771,Microsoft-Windows-Time-Service,23,134,3,0
37765,Microsoft-Windows-DistributedCOM,23,10010,2,0
37759,Microsoft-Windows-DistributedCOM,23,10016,2,0
37731,Microsoft-Windows-Time-Service,23,134,3,0
37725,Microsoft-Windows-DistributedCOM,23,10016,2,0
37724,Microsoft-Windows-DNS Client Events,13,1014,3,0
37721,Microsoft-Windows-DNS Client Events,13,1014,3,0
37719,Microsoft-Windows-FilterManager,23,4,3,0
37718,Microsoft-Windows-FilterManager,23,4,3,0
37713,Microsoft-Windows-FilterManager,23,4,3,0
37667,Microsoft-Windows-Time-Service,23,134,3,0
37653,Microsoft-Windows-Time-Service,23,134,3,0
37651,Microsoft-Windows-Time-Service,23,134,3,0
37640,Microsoft-Windows-Time-Service,23,134,3,0
37639,Microsoft-Windows-Time-Service,23,134,3,0
37622,Microsoft-Windows-DNS Client Events,13,1014,3,0
37621,Microsoft-Windows-Time-Service,23,134,3,0
37619,Microsoft-Windows-DNS Client Events,13,1014,3,0
37618,Microsoft-Windows-Time-Service,23,134,3,0
37617,Microsoft-Windows-Time-Service,23,134,3,0
37616,Microsoft-Windows-Time-Service,23,134,3,0
37615,Microsoft-Windows-DNS Client Events,13,1014,3,0
37612,Microsoft-Windows-DistributedCOM,23,10016,2,0
37611,Microsoft-Windows-DistributedCOM,23,10016,2,0
37610,Microsoft-Windows-DistributedCOM,23,10016,2,0
37605,Microsoft-Windows-Time-Service,23,134,3,0
37595,Microsoft-Windows-Time-Service,23,134,3,0
37594,Microsoft-Windows-Time-Service,23,134,3,0
37587,Microsoft-Windows-DistributedCOM,23,10010,2,0
37584,Microsoft-Windows-DistributedCOM,23,10016,2,0
37583,Microsoft-Windows-DNS Client Events,13,1014,3,0
37582,Microsoft-Windows-Time-Service,23,134,3,0
37581,Microsoft-Windows-Time-Service,23,134,3,0
37579,Microsoft-Windows-DNS Client Events,13,1014,3,0
37572,Microsoft-Windows-Time-Service,23,134,3,0
37568,Microsoft-Windows-Time-Service,23,134,3,0
37561,Microsoft-Windows-DNS Client Events,13,1014,3,0
37527,Microsoft-Windows-DistributedCOM,23,10016,2,0
37526,Microsoft-Windows-DistributedCOM,23,10016,2,0
37525,Microsoft-Windows-DistributedCOM,23,10016,2,0
37523,Microsoft-Windows-Time-Service,23,134,3,0
37521,Microsoft-Windows-Time-Service,23,134,3,0
37520,Microsoft-Windows-Time-Service,23,134,3,0
37504,Microsoft-Windows-DistributedCOM,23,10016,2,0
37496,Microsoft-Windows-DNS Client Events,13,1014,3,0
37495,Microsoft-Windows-DNS Client Events,13,1014,3,0
37457,Microsoft-Windows-DNS Client Events,13,1014,3,0
37453,Microsoft-Windows-DNS Client Events,13,1014,3,0
37421,Microsoft-Windows-Time-Service,23,134,3,0
37420,Microsoft-Windows-Time-Service,23,134,3,0
37419,Microsoft-Windows-Time-Service,23,134,3,0
37408,Microsoft-Windows-DistributedCOM,23,10016,2,0
37407,Microsoft-Windows-DNS Client Events,13,1014,3,0
37373,Microsoft-Windows-DistributedCOM,23,10016,2,0
37329,Microsoft-Windows-DNS Client Events,13,1014,3,0
37327,Microsoft-Windows-DistributedCOM,23,10016,2,0
37326,Microsoft-Windows-DistributedCOM,23,10016,2,0
37325,Microsoft-Windows-DistributedCOM,23,10016,2,0
37321,Microsoft-Windows-Time-Service,23,134,3,0
37309,Microsoft-Windows-Time-Service,23,134,3,0
37308,Microsoft-Windows-Time-Service,23,134,3,0
37300,Microsoft-Windows-DistributedCOM,23,10016,2,0
37299,Microsoft-Windows-WindowsUpdateClient,26,20,2,0
37230,Microsoft-Windows-Time-Service,23,134,3,0
37224,Microsoft-Windows-Time-Service,23,134,3,0
37223,Microsoft-Windows-Time-Service,23,134,3,0
37217,Microsoft-Windows-DistributedCOM,23,10016,2,0
37211,Microsoft-Windows-DNS Client Events,13,1014,3,0
37176,Microsoft-Windows-DistributedCOM,23,10016,2,0
37175,Microsoft-Windows-DistributedCOM,23,10016,2,0
37174,Microsoft-Windows-DistributedCOM,23,10016,2,0
37173,Microsoft-Windows-Time-Service,23,134,3,0
37170,Microsoft-Windows-Time-Service,23,134,3,0
37169,Microsoft-Windows-Time-Service,23,134,3,0
37153,Microsoft-Windows-DistributedCOM,23,10016,2,0
37147,Microsoft-Windows-DNS Client Events,13,1014,3,0
37112,Microsoft-Windows-Time-Service,23,134,3,0
37111,Microsoft-Windows-DistributedCOM,23,10016,2,0
37110,Microsoft-Windows-DistributedCOM,23,10016,2,0
37109,Microsoft-Windows-DistributedCOM,23,10016,2,0
37106,Microsoft-Windows-Time-Service,23,134,3,0
37104,Microsoft-Windows-Time-Service,23,134,3,0
37103,Microsoft-Windows-Time-Service,23,134,3,0
37088,Microsoft-Windows-DistributedCOM,23,10016,2,0
37087,Microsoft-Windows-FilterManager,23,4,3,0
37084,Microsoft-Windows-FilterManager,23,4,3,0
